name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,"Karela bharta is a vegetarian main course from Punjab in the North region of India. It has a bitter flavor. Preparation time is 20 minutes and cooking time is 50 minutes. Main ingredients include Bitter gourd, fennel, garam masala powder, chili powder, amchur powder."
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,-1,-1,"Khichdi is a vegetarian main course from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 40 minutes and cooking time is 20 minutes. Main ingredients include Moong dal, green peas, ginger, tomato, green chili."
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Kofta is a vegetarian main course from Uttar Pradesh in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Paneer, potato, cream, corn flour, garam masala."
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,sweet,dessert,-1,-1,"Kulfi falooda is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 25 minutes. Main ingredients include Rose syrup, falooda sev, mixed nuts, saffron, sugar."
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Lauki ke kofte is a vegetarian main course from Uttar Pradesh in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Bottle gourd, garam masala powder, gram flour, ginger, chillies."
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,-1,-1,"Lauki ki subji is a vegetarian main course from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Bottle gourd, coconut oil, garam masala, ginger, green chillies."
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,"Litti chokha is a vegetarian main course from Bihar in the North region of India. It has a spicy flavor. Preparation time is 45 minutes and cooking time is 60 minutes. Main ingredients include Wheat flour, roasted gram flour, tomato, nigella seeds, chilli."
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North,"Makki di roti sarson da saag is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 25 minutes and cooking time is 30 minutes. Main ingredients include Palak, makki atta, mustard green, garam masala, ginger."
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North,"Misi roti is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 30 minutes. Main ingredients include Whole wheat flour, chickpea flour, green chilies."
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North,"Mushroom do pyaza is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Mushroom, malai, garam masala, ginger, capsicum."
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North,"Mushroom matar is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes."
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,-1,main course,Punjab,North,"Naan is a vegetarian main course from Punjab in the North region of India. It has a -1 flavor. Preparation time is 60 minutes and cooking time is 30 minutes. Main ingredients include Whole wheat flour, honey, butter, garlic."
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,"Navrattan korma is a vegetarian main course from Uttar Pradesh in the North region of India. It has a spicy flavor. Preparation time is 25 minutes and cooking time is 40 minutes. Main ingredients include Green beans, potatoes, khus khus, low fat, garam masala powder."
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Palak paneer is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Cottage cheese, palak, cream, garam masala, butter."
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Paneer butter masala is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Paneer, whipping cream, garam masala, cashew nuts, butter."
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,"Paneer tikka masala is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Paneer, greek yogurt, tandoori masala, cream, bell pepper."
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,-1,-1,"Pani puri is a vegetarian snack from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 15 minutes and cooking time is 2 minutes. Main ingredients include Kala chana, mashed potato, boondi, sev, lemon."
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,,"Panjeeri is a vegetarian dessert from Uttar Pradesh in the nan region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina."
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,-1,-1,"Papad is a vegetarian snack from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 5 minutes. Main ingredients include Urad dal, sev, lemon juice, chopped tomatoes."
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,"Paratha is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 15 minutes and cooking time is 45 minutes. Main ingredients include Wheat flour, butter, potato, coriander."
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,"Pattor is a vegetarian main course from Rajasthan in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Arbi ke patte, sesame seeds, gur, bengal gram flour, imli."
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,"Pindi chana is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 500 minutes and cooking time is 120 minutes. Main ingredients include Fennel, tea bags, tomato, kasuri methi, cinnamon."
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,-1,North,"Rajma chaval is a vegetarian main course from -1 in the North region of India. It has a spicy flavor. Preparation time is 15 minutes and cooking time is 90 minutes. Main ingredients include Red kidney beans, garam masala powder, ginger, tomato, mustard oil."
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,-1,main course,Punjab,North,"Rongi is a vegetarian main course from Punjab in the North region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil."
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,-1,-1,"Samosa is a vegetarian snack from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 30 minutes. Main ingredients include Potatoes, green peas, garam masala, ginger, dough."
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,"Sattu ki roti is a vegetarian main course from Bihar in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Sattu, atta, dough, filling, mustard oil."
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,"Shahi paneer is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Cottage cheese, malai, garam masala, ginger, tomato."
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,"Shahi tukra is a vegetarian dessert from Telangana in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Rose water, milk, white bread slices, saffron, almonds."
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,"Vegetable jalfrezi is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Baby corn, french beans, garam masala, ginger, carrot."
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,Punjab,North,"Tandoori Chicken is a non vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 240 minutes and cooking time is 30 minutes. Main ingredients include Greek yogurt, garam masala, kasuri methi, marinade, mustard oil."
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,Punjab,North,"Tandoori Fish Tikka is a non vegetarian starter from Punjab in the North region of India. It has a spicy flavor. Preparation time is 240 minutes and cooking time is 30 minutes. Main ingredients include Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper."
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,"Attu is a vegetarian snack from Andhra Pradesh in the South region of India. It has a spicy flavor. Preparation time is 150 minutes and cooking time is 25 minutes. Main ingredients include Whole wheat flour, arhar dal, ginger, kala jeera, green chilli."
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,"Avial is a vegetarian main course from Kerala in the South region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 45 minutes. Main ingredients include Raw banana, elephant foot yam, long beans, tindora, urad dal."
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,"Bisi bele bath is a vegetarian main course from Karnataka in the South region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 45 minutes. Main ingredients include Split pigeon peas, chana dal, urad dal, green peas, french beans."
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Currivepillai sadam  is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves."
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,-1,South,"Dosa is a vegetarian snack from -1 in the South region of India. It has a spicy flavor. Preparation time is 360 minutes and cooking time is 90 minutes. Main ingredients include Chana dal, urad dal, whole urad dal, blend rice, rock salt."
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,"Idiappam is a vegetarian snack from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 120 minutes and cooking time is 30 minutes. Main ingredients include Rice flour, hot water, grated coconut."
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,-1,South,"Idli is a vegetarian snack from -1 in the South region of India. It has a spicy flavor. Preparation time is 360 minutes and cooking time is 90 minutes. Main ingredients include Split urad dal, urad dal, idli rice, thick poha, rock salt."
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,-1,snack,Kerala,South,"Kanji is a vegetarian snack from Kerala in the South region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 45 minutes. Main ingredients include Carrot, yellow mustard, red chilli, black salt."
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Kaara kozhambu is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Sesame oil, drumstick, tamarind paste, sambar powder, tomato."
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Keerai kootu is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Moong dal, chana dal, spinach, urad dal, coconut oil."
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Keerai masiyal is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Urad dal, curry leaves, sugar, mustard seeds, spinach."
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Keerai sadam is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Greens, tomato, mustard seeds, fenugreek seeds."
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Keerai poriyal is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili."
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,Kerala,South,"Beef Fry is a non vegetarian main course from Kerala in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Beef, coconut, garam masala, curry leaves, green chilies, chili powder."
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,"Kootu is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 15 minutes. Main ingredients include Chana dal, urad dal, potato, beans, peas."
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Kos kootu is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Moong dal, chana dal, cabbage, tamarind, curry leaves."
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,"Koshambri is a vegetarian main course from Karnataka in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Moong dal, cucumber, curry leaves, green chili, lemon juice."
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Kothamali sadam is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Chana dal, urad dal, gooseberry, raw rice, curry leaves."
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,"Kuzhakkattai is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 90 minutes. Main ingredients include Sesame oil, raw rice, jaggery, grated coconut."
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,"Kuzhambu is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 30 minutes. Main ingredients include Pearl onions, urad dal, drumsticks, tomato, curry leaves."
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,-1,South,"Masala Dosa is a vegetarian snack from -1 in the South region of India. It has a spicy flavor. Preparation time is 360 minutes and cooking time is 90 minutes. Main ingredients include Chana dal, urad dal, potatoes, idli rice, thick poha."
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,-1,main course,-1,South,"Pachadi is a vegetarian main course from -1 in the South region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Coconut oil, cucumber, curd, curry leaves, mustard seeds."
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Paniyaram is a vegetarian main course from Tamil Nadu in the South region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Yogurt, ginger, curry leaves, baking soda, green chilli."
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,"Papadum is a vegetarian snack from Kerala in the South region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 5 minutes. Main ingredients include Lentils, black pepper, vegetable oil."
Paravannam,"Raw rice,  jaggery, milk",vegetarian,-1,-1,spicy,main course,Kerala,South,"Paravannam is a vegetarian main course from Kerala in the South region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Raw rice,  jaggery, milk."
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,-1,South,"Payasam is a vegetarian dessert from -1 in the South region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 30 minutes. Main ingredients include Rice, cashew nuts, milk, raisins, sugar."
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Paruppu sadam is a vegetarian main course from Tamil Nadu in the South region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Arhar dal, sambar powder, tomato, curry leaves, fennel seeds."
Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,"Pesarattu is a vegetarian snack from Andhra Pradesh in the South region of India. It has a spicy flavor. Preparation time is 120 minutes and cooking time is 20 minutes. Main ingredients include Green moong beans, rice flour."
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,"Poriyal is a vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Chana dal, urad dal, beans, coconut, mustard."
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Puli sadam is a vegetarian main course from Tamil Nadu in the South region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Urad dal, lemon, tamarind, cooked rice, curry leaves."
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,-1,South,"Rasam is a vegetarian main course from -1 in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Tomato, curry leaves, garlic, mustard seeds, hot water."
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,495,40,-1,main course,Kerala,South,"Puttu is a vegetarian main course from Kerala in the South region of India. It has a -1 flavor. Preparation time is 495 minutes and cooking time is 40 minutes. Main ingredients include Brown rice flour, sugar, grated coconut."
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,-1,South,"Sambar is a vegetarian main course from -1 in the South region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 45 minutes. Main ingredients include Pigeon peas, eggplant, drumsticks, sambar powder, tamarind."
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,-1,main course,Karnataka,South,"Sandige is a vegetarian main course from Karnataka in the South region of India. It has a -1 flavor. Preparation time is 120 minutes and cooking time is 60 minutes. Main ingredients include Thin rice flakes, black sesame seeds, curry leaves."
Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,-1,main course,-1,South,"Sevai is a vegetarian main course from -1 in the South region of India. It has a -1 flavor. Preparation time is 120 minutes and cooking time is 30 minutes. Main ingredients include Sevai, parboiled rice, steamer."
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,-1,main course,Tamil Nadu,South,"Thayir sadam is a vegetarian main course from Tamil Nadu in the South region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds."
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,-1,main course,Kerala,South,"Theeyal is a vegetarian main course from Kerala in the South region of India. It has a -1 flavor. Preparation time is 15 minutes and cooking time is 20 minutes. Main ingredients include Coconut, whole red beans, masala, sesame oil, tamarind."
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,-1,South,"Uttapam is a vegetarian snack from -1 in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Chana dal, urad dal, thick poha, tomato, butter."
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,-1,South,"Vada is a vegetarian snack from -1 in the South region of India. It has a spicy flavor. Preparation time is 15 minutes and cooking time is 20 minutes. Main ingredients include Urad dal, ginger, curry leaves, green chilies, black pepper."
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,10,35,spicy,main course,Tamil Nadu,South,"Chicken Varuval is a non vegetarian main course from Tamil Nadu in the South region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Meat curry powder, chicken chunks, ginger, tomato, cinnamon."
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,-1,-1,"Upma is a vegetarian snack from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Chana dal, urad dal, ginger, curry leaves, sugar."
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,Maharashtra,West,"Amti is a vegetarian main course from Maharashtra in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 45 minutes. Main ingredients include Kala masala, arhar dal, curry leaves, mustard seeds, hot water."
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,Maharashtra,West,"Zunka is a vegetarian main course from Maharashtra in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Gram flour, mustard, garlic, turmeric, red chilli."
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,-1,-1,spicy,main course,Maharashtra,West,"Kolim Jawla is a non vegetarian main course from Maharashtra in the West region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Baingan, fish, coconut oil, fresh coconut, ginger."
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,Gujarat,West,"Saath is a vegetarian main course from Gujarat in the West region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Urad dal, potatoes, wheat flour, sooji."
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,Gujarat,West,"Bajri no rotlo is a vegetarian main course from Gujarat in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 10 minutes. Main ingredients include Wheat flour, pearl millet flour, hot water."
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,sweet,dessert,Maharashtra,West,"Coconut vadi is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Condensed milk, mawa, desiccated coconut, almonds, cashews."
Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,-1,main course,Maharashtra,West,"Bhakri is a vegetarian main course from Maharashtra in the West region of India. It has a -1 flavor. Preparation time is 20 minutes and cooking time is 25 minutes. Main ingredients include Jowar flour, sesame seeds."
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,-1,-1,spicy,main course,Maharashtra,West,"Bombil fry is a non vegetarian main course from Maharashtra in the West region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Bombay duck, malvani masala, rice flour, bombay rava, green chilies."
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,spicy,snack,Maharashtra,West,"Chakali is a vegetarian snack from Maharashtra in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Rice flour, sesame, plain flour, turmeric, red chilli."
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,spicy,snack,Gujarat,West,"Chevdo is a vegetarian snack from Gujarat in the West region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Citric acid, fry, raisins, sugar, chana daal."
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,spicy,snack,Gujarat,West,"Chorafali is a vegetarian snack from Gujarat in the West region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 15 minutes. Main ingredients include Urad dal, bengal gram flour, dried mango, baking soda, black salt."
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,-1,main course,Gujarat,West,"Copra paak is a vegetarian main course from Gujarat in the West region of India. It has a -1 flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut."
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,Gujarat,West,"Daal Dhokli is a vegetarian main course from Gujarat in the West region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Whole wheat flour, dal, kokum, gur, bengal gram flour."
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",vegetarian,30,10,spicy,snack,Gujarat,West,"Kutchi dabeli is a vegetarian snack from Gujarat in the West region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 10 minutes. Main ingredients include Pav, aloo, peanut, pomegranate, star anise."
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,-1,snack,Maharashtra,West,"Dahi vada is a vegetarian snack from Maharashtra in the West region of India. It has a -1 flavor. Preparation time is 30 minutes and cooking time is 30 minutes. Main ingredients include Urad dal, bhuna chana, garam masala, dates, tamarind."
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,-1,main course,Maharashtra,West,"Dalithoy is a vegetarian main course from Maharashtra in the West region of India. It has a -1 flavor. Preparation time is 5 minutes and cooking time is 20 minutes. Main ingredients include Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli."
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,Gujarat,West,"Dhokla is a vegetarian snack from Gujarat in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Rava, coconut, gram flour, mustard, sesame."
