name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,description,recipe_dict
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,"Qubani ka meetha is a vegetarian dessert from Telangana in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Apricots, sugar syrup.","{'name': 'Qubani ka Meetha', 'ingredients': 'Apricots, sugar syrup', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Telangana', 'region': 'South'}"
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,"Sheer korma is a vegetarian dessert from Telangana in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Vermicelli pudding, milk.","{'name': 'Sheer Korma', 'ingredients': 'Vermicelli pudding, milk', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Telangana', 'region': 'South'}"
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,"Unni Appam is a vegetarian dessert from Tamil Nadu in the South region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Rice flour, banana, jaggery, coconut.","{'name': 'Unni Appam', 'ingredients': 'Rice flour, banana, jaggery, coconut', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Tamil Nadu', 'region': 'South'}"
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,"Kajjikaya is a vegetarian dessert from Andhra Pradesh in the South region of India. It has a sweet flavor. Preparation time is 40 minutes and cooking time is 15 minutes. Main ingredients include Rice flour, jaggery, coconut.","{'name': 'Kajjikaya', 'ingredients': 'Rice flour, jaggery, coconut', 'diet': 'vegetarian', 'prep_time': 40, 'cook_time': 15, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Andhra Pradesh', 'region': 'South'}"
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Anarsa is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Rice flour, jaggery, khus-khus seeds.","{'name': 'Anarsa', 'ingredients': 'Rice flour, jaggery, khus-khus seeds', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 50, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,"Basundi is a vegetarian dessert from Gujarat in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Sugar, milk, nuts.","{'name': 'Basundi', 'ingredients': 'Sugar, milk, nuts', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 35, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Gujarat', 'region': 'West'}"
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Dhondas is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Cucumber, rava.","{'name': 'Dhondas', 'ingredients': 'Cucumber, rava', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 50, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,"Doodhpak is a vegetarian dessert from Gujarat in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Milk, rice, sugar, dry fruits.","{'name': 'Doodhpak', 'ingredients': 'Milk, rice, sugar, dry fruits', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Gujarat', 'region': 'West'}"
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Mahim halwa is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 25 minutes. Main ingredients include Semolina, sugar.","{'name': 'Mahim Halwa', 'ingredients': 'Semolina, sugar', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 25, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,"Modak is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 15 minutes. Main ingredients include Rice flour, coconut, jaggery .","{'name': 'Modak', 'ingredients': 'Rice flour, coconut, jaggery', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 15, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,"Shankarpali is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Sugar, ghee, maida flour, semolina.","{'name': 'Shankarpali', 'ingredients': 'Sugar, ghee, maida flour, semolina', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 35, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,"Shrikhand is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 720 minutes. Main ingredients include Curd, sugar, saffron, cardamom.","{'name': 'Shrikhand', 'ingredients': 'Curd, sugar, saffron, cardamom', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 720, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,"Sutar feni is a vegetarian dessert from Maharashtra in the West region of India. It has a sweet flavor. Preparation time is 15 minutes and cooking time is 55 minutes. Main ingredients include Maida, sugar, ghee.","{'name': 'Sutar Feni', 'ingredients': 'Maida, sugar, ghee', 'diet': 'vegetarian', 'prep_time': 15, 'cook_time': 55, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Maharashtra', 'region': 'West'}"
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,"Maach Jhol is a non vegetarian main course from Assam in the North East region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Fish, potol, tomato, chillies, ginger, garlic.","{'name': 'Maach Jhol', 'ingredients': 'Fish, potol, tomato, chillies, ginger, garlic', 'diet': 'non-vegetarian', 'prep_time': 10, 'cook_time': 40, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Assam', 'region': 'North East'}"
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,-1,-1,spicy,main course,Tripura,North East,"Pork Bharta is a non vegetarian main course from Tripura in the North East region of India. It has a spicy flavor. Preparation time is -1 minutes and cooking time is -1 minutes. Main ingredients include Boiled pork, onions, chillies, ginger and garlic.","{'name': 'Pork Bharta', 'ingredients': 'Boiled pork, onions, chillies, ginger, garlic', 'diet': 'non-vegetarian', 'prep_time': -1, 'cook_time': -1, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Tripura', 'region': 'North East'}"
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,"Chak Hao Kheer is a vegetarian dessert from Manipur in the North East region of India. It has a sweet flavor. Preparation time is 240 minutes and cooking time is 45 minutes. Main ingredients include Rice, milk, sugar, cardamom.","{'name': 'Chak Hao Kheer', 'ingredients': 'Rice, milk, sugar, cardamom', 'diet': 'vegetarian', 'prep_time': 240, 'cook_time': 45, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': 'Manipur', 'region': 'North East'}"
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,"Galho is a non vegetarian main course from Nagaland in the North East region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 15 minutes. Main ingredients include Rice, axone, salt, water, chillies, pork.","{'name': 'Galho', 'ingredients': 'Rice, axone, salt, water, chillies, pork', 'diet': 'non-vegetarian', 'prep_time': 5, 'cook_time': 15, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Nagaland', 'region': 'North East'}"
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,"Aloo gobi is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Cauliflower, potato, garam masala, turmeric, curry leaves.","{'name': 'Aloo Gobi', 'ingredients': 'Cauliflower, potato, garam masala, turmeric, curry leaves', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,"Aloo tikki is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 20 minutes. Main ingredients include Rice flour, potato, bread crumbs, garam masala, salt.","{'name': 'Aloo Tikki', 'ingredients': 'Rice flour, potato, bread crumbs, garam masala, salt', 'diet': 'vegetarian', 'prep_time': 5, 'cook_time': 20, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,"Aloo matar is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 5 minutes and cooking time is 40 minutes. Main ingredients include Potato, peas, chillies, ginger, garam masala, garlic.","{'name': 'Aloo Matar', 'ingredients': 'Potato, peas, chillies, ginger, garam masala, garlic', 'diet': 'vegetarian', 'prep_time': 5, 'cook_time': 40, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,"Aloo methi is a vegetarian main course from Punjab in the North region of India. It has a bitter flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Potato, fenugreek leaves, chillies, salt, oil.","{'name': 'Aloo Methi', 'ingredients': 'Potato, fenugreek leaves, chillies, salt, oil', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 40, 'flavor_profile': 'bitter', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,"Aloo shimla mirch is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 40 minutes. Main ingredients include Potato, shimla mirch, garam masala, amchur powder, salt.","{'name': 'Aloo Shimla Mirch', 'ingredients': 'Potato, shimla mirch, garam masala, amchur powder, salt', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 40, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,"Bhatura is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 20 minutes. Main ingredients include Chole, rava, yogurt, plain flour, baking soda.","{'name': 'Bhatura', 'ingredients': 'Chole, rava, yogurt, plain flour, baking soda', 'diet': 'vegetarian', 'prep_time': '20', 'cook_time': '20', 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,"Bhindi masala is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Ladies finger, garam masala, kasuri methi, tomatoes, chili powder.","{'name': 'Bhindi Masala', 'ingredients': 'Ladies finger, garam masala, kasuri methi, tomatoes, chili powder', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,"Biryani is a non vegetarian main course from Telangana in the South region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 120 minutes. Main ingredients include Chicken thighs, basmati rice, star anise, sweet, green chillies.","{'name': 'Biryani', 'ingredients': 'Chicken thighs, basmati rice, star anise, sweet, green chillies', 'diet': 'non-vegetarian', 'prep_time': 30, 'cook_time': 120, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Telangana', 'region': 'South'}"
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,"Butter chicken is a non vegetarian main course from NCT of Delhi in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter.","{'name': 'Butter Chicken', 'ingredients': 'Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter', 'diet': 'non-vegetarian', 'prep_time': 10, 'cook_time': 35, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'NCT of Delhi', 'region': 'North'}"
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,"Chana masala is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil.","{'name': 'Chana Masala', 'ingredients': 'Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,-1,main course,Maharashtra,West,"Chapati is a vegetarian main course from Maharashtra in the West region of India. It has a -1 flavor. Preparation time is 10 minutes and cooking time is 10 minutes. Main ingredients include Whole wheat flour, olive oil, hot water, all purpose flour.","{'name': 'Chapati', 'ingredients': 'Whole wheat flour, olive oil, hot water, all purpose flour', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 10, 'flavor_profile': '-1', 'course': 'main course', 'state': 'Maharashtra', 'region': 'West'}"
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,"Chicken razala is a non vegetarian main course from West Bengal in the East region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 35 minutes. Main ingredients include Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron.","{'name': 'Chicken Razala', 'ingredients': 'Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron', 'diet': 'non-vegetarian', 'prep_time': 10, 'cook_time': 35, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'West Bengal', 'region': 'East'}"
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,"Chicken Tikka masala is a non vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 50 minutes. Main ingredients include Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala.","{'name': 'Chicken Tikka Masala', 'ingredients': 'Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala', 'diet': 'non-vegetarian', 'prep_time': 10, 'cook_time': 50, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,"Chicken Tikka is a non vegetarian starter from Punjab in the North region of India. It has a spicy flavor. Preparation time is 120 minutes and cooking time is 45 minutes. Main ingredients include Chicken, whole wheat bread, rice flour, garam masala powder, whole egg.","{'name': 'Chicken Tikka', 'ingredients': 'Chicken, whole wheat bread, rice flour, garam masala powder, whole egg', 'diet': 'non-vegetarian', 'prep_time': 120, 'cook_time': 45, 'flavor_profile': 'spicy', 'course': 'starter', 'state': 'Punjab', 'region': 'North'}"
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,"Chole bhature is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Chole, bhatura, garam masala, bay leaf, cinnamon stick.","{'name': 'Chole Bhature', 'ingredients': 'Chole, bhatura, garam masala, bay leaf, cinnamon stick', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,"Daal baati churma is a vegetarian main course from Rajasthan in the West region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 90 minutes. Main ingredients include Moong dal, masoor dal, chana dal, wheat flour, almond.","{'name': 'Daal Baati Churma', 'ingredients': 'Moong dal, masoor dal, chana dal, wheat flour, almond', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 90, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Rajasthan', 'region': 'West'}"
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,"Daal puri is a vegetarian main course from West Bengal in the East region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 30 minutes. Main ingredients include Moong dal, garam masala powder, garlic, green chilli, all purpose flour.","{'name': 'Daal Puri', 'ingredients': 'Moong dal, garam masala powder, garlic, green chilli, all purpose flour', 'diet': 'vegetarian', 'prep_time': 30, 'cook_time': 30, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'West Bengal', 'region': 'East'}"
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,"Dal makhani  is a vegetarian main course from Punjab in the North region of India. It has a sweet flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Red kidney beans, urad dal, cream, garam masala, chili powder.","{'name': 'Dal Makhani', 'ingredients': 'Red kidney beans, urad dal, cream, garam masala, chili powder', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 60, 'flavor_profile': 'sweet', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,"Dal tadka is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 30 minutes. Main ingredients include Pigeon peas, garam masala, ginger, red onion, kasuri methi.","{'name': 'Dal tadka', 'ingredients': 'Pigeon peas, garam masala, ginger, red onion, kasuri methi', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 30, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,"Dum aloo is a vegetarian main course from Jammu & Kashmir in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 50 minutes. Main ingredients include Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes.","{'name': 'Dum Aloo', 'ingredients': 'Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 50, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Jammu & Kashmir', 'region': 'North'}"
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,"Poha is a vegetarian snack from Maharashtra in the West region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Beaten rice flakes, potato, curry leaves, green chilies, lemon juice.","{'name': 'Poha', 'ingredients': 'Beaten rice flakes, potato, curry leaves, green chilies, lemon juice', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'spicy', 'course': 'snack', 'state': 'Maharashtra', 'region': 'West'}"
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,"Fara is a vegetarian snack from Chhattisgarh in the Central region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder.","{'name': 'Fara', 'ingredients': 'Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 60, 'flavor_profile': 'spicy', 'course': 'snack', 'state': 'Chhattisgarh', 'region': 'Central'}"
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,"Kachori is a vegetarian snack from Uttar Pradesh in the North region of India. It has a spicy flavor. Preparation time is 30 minutes and cooking time is 60 minutes. Main ingredients include Moong dal, rava, garam masala, dough, fennel seeds.","{'name': 'Kachori', 'ingredients': 'Moong dal, rava, garam masala, dough, fennel seeds', 'diet': 'vegetarian', 'prep_time': 30, 'cook_time': 60, 'flavor_profile': 'spicy', 'course': 'snack', 'state': 'Uttar Pradesh', 'region': 'North'}"
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,"Kadai paneer is a vegetarian main course from Punjab in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 30 minutes. Main ingredients include Cottage cheese, bell peppers, gravy, garam masala, cashew nuts.","{'name': 'Kadai Paneer', 'ingredients': 'Cottage cheese, bell peppers, gravy, garam masala, cashew nuts', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 30, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,"Kadhi pakoda is a vegetarian main course from Haryana in the North region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 60 minutes. Main ingredients include Besan, garam masala powder, gram flour, ginger, curry leaves.","{'name': 'Kadhi pakoda', 'ingredients': 'Besan, garam masala powder, gram flour, ginger, curry leaves', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 60, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Haryana', 'region': 'North'}"
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,"Karela bharta is a vegetarian main course from Punjab in the North region of India. It has a bitter flavor. Preparation time is 20 minutes and cooking time is 50 minutes. Main ingredients include Bitter gourd, fennel, garam masala powder, chili powder, amchur powder.","{'name': 'Karela Bharta', 'ingredients': 'Bitter gourd, fennel, garam masala powder, chili powder, amchur powder', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 50, 'flavor_profile': 'bitter', 'course': 'main course', 'state': 'Punjab', 'region': 'North'}"
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,-1,-1,"Khichdi is a vegetarian main course from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 40 minutes and cooking time is 20 minutes. Main ingredients include Moong dal, green peas, ginger, tomato, green chili.","{'name': 'Khichdi', 'ingredients': 'Moong dal, green peas, ginger, tomato, green chili', 'diet': 'vegetarian', 'prep_time': 40, 'cook_time': 20, 'flavor_profile': 'spicy', 'course': 'main course', 'state': '-1', 'region': '-1'}"
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Kofta is a vegetarian main course from Uttar Pradesh in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Paneer, potato, cream, corn flour, garam masala.","{'name': 'Kofta', 'ingredients': 'Paneer, potato, cream, corn flour, garam masala', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 40, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Uttar Pradesh', 'region': 'North'}"
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,sweet,dessert,-1,-1,"Kulfi falooda is a vegetarian dessert from -1 in the -1 region of India. It has a sweet flavor. Preparation time is 45 minutes and cooking time is 25 minutes. Main ingredients include Rose syrup, falooda sev, mixed nuts, saffron, sugar.","{'name': 'Kulfi Falooda', 'ingredients': 'Rose syrup, falooda sev, mixed nuts, saffron, sugar', 'diet': 'vegetarian', 'prep_time': 45, 'cook_time': 25, 'flavor_profile': 'sweet', 'course': 'dessert', 'state': '-1', 'region': '-1'}"
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Lauki ke kofte is a vegetarian main course from Uttar Pradesh in the North region of India. It has a spicy flavor. Preparation time is 20 minutes and cooking time is 40 minutes. Main ingredients include Bottle gourd, garam masala powder, gram flour, ginger, chillies.","{'name': 'Lauki ke Kofte', 'ingredients': 'Bottle gourd, garam masala powder, gram flour, ginger, chillies', 'diet': 'vegetarian', 'prep_time': 20, 'cook_time': 40, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Uttar Pradesh', 'region': 'North'}"
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,-1,-1,"Lauki ki subji is a vegetarian main course from -1 in the -1 region of India. It has a spicy flavor. Preparation time is 10 minutes and cooking time is 20 minutes. Main ingredients include Bottle gourd, coconut oil, garam masala, ginger, green chillies.","{'name': 'Lauki ki subji', 'ingredients': 'Bottle gourd, coconut oil, garam masala, ginger, green chillies', 'diet': 'vegetarian', 'prep_time': 10, 'cook_time': 20, 'flavor_profile': 'spicy', 'course': 'main course', 'state': '-1', 'region': '-1'}"
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,"Litti chokha is a vegetarian main course from Bihar in the North region of India. It has a spicy flavor. Preparation time is 45 minutes and cooking time is 60 minutes. Main ingredients include Wheat flour, roasted gram flour, tomato, nigella seeds, chilli.","{'name': 'Litti Chokha', 'ingredients': 'Wheat flour, roasted gram flour, tomato, nigella seeds, chilli', 'diet': 'vegetarian', 'prep_time': 45, 'cook_time': 60, 'flavor_profile': 'spicy', 'course': 'main course', 'state': 'Bihar', 'region': 'North'}"
